Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2023-04-03,63.2284,63.4926,62.8161,62.8975
2023-04-04,62.8921,63.0637,62.501,62.6011
2023-04-05,62.5999,62.8134,62.3819,62.6704
2023-04-06,62.6704,62.8648,62.5174,62.7286
2023-04-10,62.8337,63.2915,62.7203,63.1171
2023-04-11,63.1146,63.1452,62.7693,62.8946
2023-04-12,62.8945,62.9813,62.4769,62.5719
2023-04-13,62.5666,62.6407,62.0857,62.2295
2023-04-14,62.2287,62.6974,62.0623,62.5902
2023-04-17,62.5985,62.9607,62.5151,62.8668
2023-04-18,62.8616,62.9121,62.5988,62.6982
2023-04-19,62.6941,63.0109,62.6092,62.8297
2023-04-20,62.8302,62.9642,62.6219,62.7214
2023-04-21,62.7188,62.9797,62.6017,62.7356
2023-04-24,62.7459,62.8932,62.5297,62.5857
2023-04-25,62.5852,62.9692,62.4211,62.829
2023-04-26,62.8316,62.8974,62.4072,62.6852
2023-04-27,62.6849,62.9252,62.5395,62.7052
2023-04-28,62.7067,63.1881,62.4358,62.8083
2023-05-01,62.8032,63.154,62.737,63.0725
2023-05-02,63.072,63.3366,62.8495,63.0163
2023-05-03,63.0147,63.0368,62.4409,62.5281
2023-05-04,62.5382,62.753,62.2531,62.5054
2023-05-05,62.5088,62.8095,62.1682,62.4215
2023-05-08,62.4088,62.5149,62.211,62.4486
2023-05-09,62.4471,62.6813,62.3771,62.5254
2023-05-10,62.5466,62.654,62.2239,62.3906
2023-05-11,62.3924,62.8684,62.2881,62.7733
2023-05-12,62.7711,63.1676,62.6435,63.1395
2023-05-15,63.1538,63.2302,62.8655,62.9535
2023-05-16,62.9507,63.1381,62.7544,63.0633
2023-05-17,63.0603,63.4469,62.9553,63.197
2023-05-18,63.1949,63.6713,63.1512,63.6032
2023-05-19,63.6029,63.6616,63.2044,63.3787
2023-05-22,63.3633,63.5048,63.1858,63.4108
2023-05-23,63.4094,63.6831,63.3414,63.5267
2023-05-24,63.5246,63.8718,63.3918,63.8172
2023-05-25,63.815,64.0863,63.722,64.0039
2023-05-26,64.0049,64.1468,63.7513,63.9827
2023-05-29,64.0113,64.0785,63.845,63.9529
2023-05-30,63.9538,64.1571,63.6834,63.8472
2023-05-31,63.8442,64.2555,63.7261,63.8704
2023-06-01,63.8704,64.0206,63.3933,63.466
2023-06-02,63.4662,63.7802,63.3339,63.7332
2023-06-05,63.7266,63.9756,63.5909,63.6791
2023-06-06,63.6772,63.8801,63.5039,63.7073
2023-06-07,63.7046,63.8865,63.3951,63.7335
2023-06-08,63.7286,63.7706,63.1918,63.2313
2023-06-09,63.2318,63.4603,63.1367,63.3652
2023-06-12,63.3378,63.6333,63.1939,63.5147
2023-06-13,63.5148,63.5977,63.1212,63.3352
2023-06-14,63.3357,63.4177,62.9174,63.1657
2023-06-15,63.1634,63.4593,62.6473,62.7206
2023-06-16,62.7206,62.9635,62.5203,62.8494
2023-06-19,62.8205,63.0097,62.7454,62.9273
2023-06-20,62.925,63.1803,62.8071,62.9623
2023-06-21,62.9606,63.1705,62.6782,62.7851
2023-06-22,62.7864,63.0655,62.616,62.966
2023-06-23,62.9647,63.3824,62.9149,63.1941
2023-06-26,63.1529,63.2129,62.929,63.1024
2023-06-27,63.1036,63.2368,62.8785,63.0597
2023-06-28,63.0574,63.4778,63.0219,63.3589
2023-06-29,63.3567,63.5917,63.2296,63.5135
2023-06-30,63.513,63.6468,63.1461,63.2569
